node, X coordinate (m), Y coordinate (m), Liquid Pressure (MPa), Vapor Pressure (MPa), Temperature (deg C), Liquid Density (kg/m**3), Vapor Density (kg/m**3), X Permeability (log m**2), Y Permeability (log m**2), Z Permeability (log m**2)
0000000001,   0.00000000 ,   2000.00000 ,   25.1573104 ,   25.1573104 ,   195.589714 ,   886.373182 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000002,   50.0000000 ,   2000.00000 ,   25.1569397 ,   25.1569397 ,   194.905763 ,   887.103900 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000003,   100.000000 ,   2000.00000 ,   25.1563967 ,   25.1563967 ,   193.118641 ,   889.003839 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000004,   150.000000 ,   2000.00000 ,   25.1555737 ,   25.1555737 ,   190.622571 ,   891.634206 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000005,   200.000000 ,   2000.00000 ,   25.1545538 ,   25.1545538 ,   187.767096 ,   894.610393 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000006,   250.000000 ,   2000.00000 ,   25.1534234 ,   25.1534234 ,   184.818579 ,   897.647104 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000007,   300.000000 ,   2000.00000 ,   25.1522583 ,   25.1522583 ,   181.961203 ,   900.555005 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000008,   350.000000 ,   2000.00000 ,   25.1511198 ,   25.1511198 ,   179.310539 ,   903.222103 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000009,   400.000000 ,   2000.00000 ,   25.1500531 ,   25.1500531 ,   176.929137 ,   905.593516 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000010,   450.000000 ,   2000.00000 ,   25.1490885 ,   25.1490885 ,   174.840789 ,   907.653974 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000011,   500.000000 ,   2000.00000 ,   25.1482433 ,   25.1482433 ,   173.042582 ,   909.413939 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000012,   550.000000 ,   2000.00000 ,   25.1475247 ,   25.1475247 ,   171.514634 ,   910.899109 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000013,   600.000000 ,   2000.00000 ,   25.1469327 ,   25.1469327 ,   170.227593 ,   912.142823 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000014,   650.000000 ,   2000.00000 ,   25.1464621 ,   25.1464621 ,   169.148153 ,   913.180811 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000015,   700.000000 ,   2000.00000 ,   25.1461047 ,   25.1461047 ,   168.242812 ,   914.047810 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000016,   750.000000 ,   2000.00000 ,   25.1458513 ,   25.1458513 ,   167.480242 ,   914.775572 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000017,   800.000000 ,   2000.00000 ,   25.1456919 ,   25.1456919 ,   166.832571 ,   915.391889 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000018,   850.000000 ,   2000.00000 ,   25.1456176 ,   25.1456176 ,   166.275891 ,   915.920322 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000019,   900.000000 ,   2000.00000 ,   25.1456198 ,   25.1456198 ,   165.789382 ,   916.381173 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000020,   950.000000 ,   2000.00000 ,   25.1456912 ,   25.1456912 ,   165.360237 ,   916.786944 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000021,   1000.00000 ,   2000.00000 ,   25.1458256 ,   25.1458256 ,   164.973185 ,   917.152327 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000022,   1050.00000 ,   2000.00000 ,   25.1460175 ,   25.1460175 ,   164.622796 ,   917.482627 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000023,   1100.00000 ,   2000.00000 ,   25.1462618 ,   25.1462618 ,   164.301289 ,   917.785312 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000024,   1150.00000 ,   2000.00000 ,   25.1465544 ,   25.1465544 ,   164.001183 ,   918.067514 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000025,   1200.00000 ,   2000.00000 ,   25.1468917 ,   25.1468917 ,   163.716892 ,   918.334550 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000026,   1250.00000 ,   2000.00000 ,   25.1472712 ,   25.1472712 ,   163.444224 ,   918.590400 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000027,   1300.00000 ,   2000.00000 ,   25.1476908 ,   25.1476908 ,   163.180024 ,   918.838051 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000028,   1350.00000 ,   2000.00000 ,   25.1481487 ,   25.1481487 ,   162.921898 ,   919.079770 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000029,   1400.00000 ,   2000.00000 ,   25.1486439 ,   25.1486439 ,   162.668023 ,   919.317275 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000030,   1450.00000 ,   2000.00000 ,   25.1491753 ,   25.1491753 ,   162.416987 ,   919.551898 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000031,   1500.00000 ,   2000.00000 ,   25.1497418 ,   25.1497418 ,   162.167681 ,   919.784678 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000032,   1550.00000 ,   2000.00000 ,   25.1503428 ,   25.1503428 ,   161.919204 ,   920.016460 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000033,   1600.00000 ,   2000.00000 ,   25.1509781 ,   25.1509781 ,   161.670798 ,   920.247951 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000034,   1650.00000 ,   2000.00000 ,   25.1516468 ,   25.1516468 ,   161.421788 ,   920.479778 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000035,   1700.00000 ,   2000.00000 ,   25.1523489 ,   25.1523489 ,   161.171539 ,   920.712529 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000036,   1750.00000 ,   2000.00000 ,   25.1530843 ,   25.1530843 ,   160.919410 ,   920.946793 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000037,   1800.00000 ,   2000.00000 ,   25.1538528 ,   25.1538528 ,   160.664723 ,   921.183194 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000038,   1850.00000 ,   2000.00000 ,   25.1546544 ,   25.1546544 ,   160.406728 ,   921.422418 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000039,   1900.00000 ,   2000.00000 ,   25.1554893 ,   25.1554893 ,   160.144566 ,   921.665247 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000040,   1950.00000 ,   2000.00000 ,   25.1563577 ,   25.1563577 ,   159.877237 ,   921.912593 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000041,   2000.00000 ,   2000.00000 ,   25.1572602 ,   25.1572602 ,   159.603558 ,   922.165530 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000042,   2050.00000 ,   2000.00000 ,   25.1581974 ,   25.1581974 ,   159.322127 ,   922.425328 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000043,   2100.00000 ,   2000.00000 ,   25.1591697 ,   25.1591697 ,   159.031274 ,   922.693499 ,   0.00000000 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
