Node,  X Coordinate (m),  Y Coordinate (m),  Vapor X Volume Flux (m3/[m2 s]),  Vapor Y Volume Flux (m3/[m2 s]),  Liquid X Volume Flux (m3/[m2 s]),  Liquid Y Volume Flux (m3/[m2 s])
0000000001,    0.00000000    ,    2000.00000    ,    0.00000000    ,    0.00000000    ,   0.129499873E-08,   0.488833124E-07
0000000002,    50.0000000    ,    2000.00000    ,    0.00000000    ,    0.00000000    ,   0.189011045E-08,   0.470141414E-07
0000000003,    100.000000    ,    2000.00000    ,    0.00000000    ,    0.00000000    ,   0.283784903E-08,   0.434964423E-07
0000000004,    150.000000    ,    2000.00000    ,    0.00000000    ,    0.00000000    ,   0.346991002E-08,   0.386722439E-07
0000000005,    200.000000    ,    2000.00000    ,    0.00000000    ,    0.00000000    ,   0.378708437E-08,   0.333323379E-07
0000000006,    250.000000    ,    2000.00000    ,    0.00000000    ,    0.00000000    ,   0.384036497E-08,   0.280368266E-07
0000000007,    300.000000    ,    2000.00000    ,    0.00000000    ,    0.00000000    ,   0.369271104E-08,   0.231255023E-07
0000000008,    350.000000    ,    2000.00000    ,    0.00000000    ,    0.00000000    ,   0.340763835E-08,   0.187722767E-07
0000000009,    400.000000    ,    2000.00000    ,    0.00000000    ,    0.00000000    ,   0.303941360E-08,   0.150370527E-07
0000000010,    450.000000    ,    2000.00000    ,    0.00000000    ,    0.00000000    ,   0.263077071E-08,   0.119090714E-07
0000000011,    500.000000    ,    2000.00000    ,    0.00000000    ,    0.00000000    ,   0.221249804E-08,   0.933796912E-08
0000000012,    550.000000    ,    2000.00000    ,    0.00000000    ,    0.00000000    ,   0.180621362E-08,   0.725511564E-08
0000000013,    600.000000    ,    2000.00000    ,    0.00000000    ,    0.00000000    ,   0.142480754E-08,   0.558619501E-08
0000000014,    650.000000    ,    2000.00000    ,    0.00000000    ,    0.00000000    ,   0.107485034E-08,   0.425950662E-08
0000000015,    700.000000    ,    2000.00000    ,    0.00000000    ,    0.00000000    ,   0.757881607E-09,   0.321018965E-08
0000000016,    750.000000    ,    2000.00000    ,    0.00000000    ,    0.00000000    ,   0.474236008E-09,   0.238256847E-08
0000000017,    800.000000    ,    2000.00000    ,    0.00000000    ,    0.00000000    ,   0.220314496E-09,   0.172912627E-08
0000000018,    850.000000    ,    2000.00000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,   0.121172399E-08
0000000019,    900.000000    ,    2000.00000    ,    0.00000000    ,    0.00000000    ,  -0.640482304E-11,   0.798382048E-09
0000000020,    950.000000    ,    2000.00000    ,    0.00000000    ,    0.00000000    ,  -0.209886393E-09,   0.466865206E-09
