node, X coordinate (m), Y coordinate (m), Liquid Pressure (MPa), Temperature (deg C), Liquid Density (kg/m**3), X Permeability (log m**2), Y Permeability (log m**2), Z Permeability (log m**2)
0000000001,   0.00000000 ,   0.00000000 ,   43.2199049 ,   275.000000 ,   804.500739 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000002,   50.0000000 ,   0.00000000 ,   43.2250656 ,   275.000000 ,   804.505925 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000003,   100.000000 ,   0.00000000 ,   43.2365310 ,   275.000000 ,   804.517446 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000004,   150.000000 ,   0.00000000 ,   43.2498455 ,   275.000000 ,   804.530824 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000005,   200.000000 ,   0.00000000 ,   43.2629913 ,   275.000000 ,   804.544031 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000006,   250.000000 ,   0.00000000 ,   43.2757689 ,   275.000000 ,   804.556866 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000007,   300.000000 ,   0.00000000 ,   43.2886677 ,   275.000000 ,   804.569822 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000008,   350.000000 ,   0.00000000 ,   43.3021455 ,   275.000000 ,   804.583358 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000009,   400.000000 ,   0.00000000 ,   43.3164946 ,   275.000000 ,   804.597768 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000010,   450.000000 ,   0.00000000 ,   43.3322689 ,   275.000000 ,   804.613607 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000011,   500.000000 ,   0.00000000 ,   43.3509979 ,   274.999999 ,   804.632411 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000012,   550.000000 ,   0.00000000 ,   43.3900526 ,   159.648864 ,   931.721651 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000013,   600.000000 ,   0.00000000 ,   43.4123280 ,   148.129459 ,   941.599249 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000014,   650.000000 ,   0.00000000 ,   43.4266591 ,   146.759171 ,   942.749286 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000015,   700.000000 ,   0.00000000 ,   43.4374556 ,   146.844592 ,   942.683331 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000016,   750.000000 ,   0.00000000 ,   43.4464841 ,   147.098119 ,   942.476524 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000017,   800.000000 ,   0.00000000 ,   43.4545030 ,   147.301281 ,   942.311021 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000018,   850.000000 ,   0.00000000 ,   43.4618764 ,   147.430395 ,   942.206852 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000019,   900.000000 ,   0.00000000 ,   43.4687997 ,   147.496815 ,   942.154732 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000020,   950.000000 ,   0.00000000 ,   43.4753879 ,   147.514806 ,   942.142854 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
