Node,  X Coordinate (m),  Y Coordinate (m),  Liquid X Volume Flux (m3/[m2 s]),  Liquid Y Volume Flux (m3/[m2 s])
0000000001,    0.00000000    ,    0.00000000    ,    0.00000000    ,   0.244800517E-07
0000000002,    50.0000000    ,    0.00000000    ,  -0.543856339E-07,    0.00000000    
0000000003,    100.000000    ,    0.00000000    ,  -0.631552301E-07,    0.00000000    
0000000004,    150.000000    ,    0.00000000    ,  -0.631552301E-07,    0.00000000    
0000000005,    200.000000    ,    0.00000000    ,  -0.623528144E-07,    0.00000000    
0000000006,    250.000000    ,    0.00000000    ,  -0.611777485E-07,    0.00000000    
0000000007,    300.000000    ,    0.00000000    ,  -0.639226030E-07,    0.00000000    
0000000008,    350.000000    ,    0.00000000    ,  -0.680523994E-07,    0.00000000    
0000000009,    400.000000    ,    0.00000000    ,  -0.748094516E-07,    0.00000000    
0000000010,    450.000000    ,    0.00000000    ,  -0.888181647E-07,    0.00000000    
0000000011,    500.000000    ,    0.00000000    ,  -0.107768230E-06,    0.00000000    
0000000012,    550.000000    ,    0.00000000    ,  -0.107768230E-06,    0.00000000    
0000000013,    600.000000    ,    0.00000000    ,  -0.569032918E-07,    0.00000000    
0000000014,    650.000000    ,    0.00000000    ,  -0.362591301E-07,    0.00000000    
0000000015,    700.000000    ,    0.00000000    ,  -0.273322058E-07,    0.00000000    
0000000016,    750.000000    ,    0.00000000    ,  -0.228968105E-07,    0.00000000    
0000000017,    800.000000    ,    0.00000000    ,  -0.203650629E-07,    0.00000000    
0000000018,    850.000000    ,    0.00000000    ,  -0.187427570E-07,    0.00000000    
0000000019,    900.000000    ,    0.00000000    ,  -0.176065527E-07,    0.00000000    
0000000020,    950.000000    ,    0.00000000    ,  -0.167562066E-07,    0.00000000    
0000000021,    1000.00000    ,    0.00000000    ,  -0.160875457E-07,    0.00000000    
0000000022,    1050.00000    ,    0.00000000    ,  -0.155417550E-07,    0.00000000    
0000000023,    1100.00000    ,    0.00000000    ,  -0.150832528E-07,    0.00000000    
0000000024,    1150.00000    ,    0.00000000    ,  -0.146892259E-07,    0.00000000    
0000000025,    1200.00000    ,    0.00000000    ,  -0.143443129E-07,    0.00000000    
0000000026,    1250.00000    ,    0.00000000    ,  -0.140377312E-07,    0.00000000    
0000000027,    1300.00000    ,    0.00000000    ,  -0.137616376E-07,    0.00000000    
0000000028,    1350.00000    ,    0.00000000    ,  -0.135101481E-07,    0.00000000    
0000000029,    1400.00000    ,    0.00000000    ,  -0.132787256E-07,    0.00000000    
0000000030,    1450.00000    ,    0.00000000    ,  -0.130637850E-07,    0.00000000    
