node, X coordinate (m), Y coordinate (m), Liquid Pressure (MPa), Temperature (deg C), Liquid Density (kg/m**3), X Permeability (log m**2), Y Permeability (log m**2), Z Permeability (log m**2)
0000000001,   0.00000000 ,   2000.00000 ,   26.9207885 ,   195.345185 ,   887.804313 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000002,   50.0000000 ,   2000.00000 ,   26.5743088 ,   195.372005 ,   887.546938 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000003,   100.000000 ,   2000.00000 ,   26.4146756 ,   195.132557 ,   887.696108 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000004,   150.000000 ,   2000.00000 ,   26.3177208 ,   194.411739 ,   888.397726 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000005,   200.000000 ,   2000.00000 ,   26.2476137 ,   193.212318 ,   889.621001 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000006,   250.000000 ,   2000.00000 ,   26.1918246 ,   191.707934 ,   891.168252 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000007,   300.000000 ,   2000.00000 ,   26.1450342 ,   190.096863 ,   892.823469 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000008,   350.000000 ,   2000.00000 ,   26.1045087 ,   188.554902 ,   894.400535 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000009,   400.000000 ,   2000.00000 ,   26.0686723 ,   187.206242 ,   895.771747 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000010,   450.000000 ,   2000.00000 ,   26.0365252 ,   186.123070 ,   896.865596 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000011,   500.000000 ,   2000.00000 ,   26.0073822 ,   185.335931 ,   897.653923 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
0000000012,   550.000000 ,   2000.00000 ,   25.9807438 ,   184.845120 ,   898.138939 ,  -13.6020600 ,  -13.6020600 ,  -13.6020600
