Node,  X Coordinate (m),  Y Coordinate (m),  Liquid X Volume Flux (m3/[m2 s]),  Liquid Y Volume Flux (m3/[m2 s])
0000000001,    0.00000000    ,    2000.00000    ,   0.120530634E-05,   0.124650819E-05
0000000002,    50.0000000    ,    2000.00000    ,   0.120530634E-05,    0.00000000    
0000000003,    100.000000    ,    2000.00000    ,   0.555714668E-06,    0.00000000    
0000000004,    150.000000    ,    2000.00000    ,   0.337184586E-06,    0.00000000    
0000000005,    200.000000    ,    2000.00000    ,   0.242933301E-06,    0.00000000    
0000000006,    250.000000    ,    2000.00000    ,   0.192120952E-06,    0.00000000    
0000000007,    300.000000    ,    2000.00000    ,   0.159862327E-06,    0.00000000    
0000000008,    350.000000    ,    2000.00000    ,   0.137275695E-06,    0.00000000    
0000000009,    400.000000    ,    2000.00000    ,   0.120390070E-06,    0.00000000    
0000000010,    450.000000    ,    2000.00000    ,   0.107208731E-06,    0.00000000    
0000000011,    500.000000    ,    2000.00000    ,   0.966177698E-07,    0.00000000    
0000000012,    550.000000    ,    2000.00000    ,   0.879342117E-07,    0.00000000    
0000000013,    600.000000    ,    2000.00000    ,   0.807069788E-07,    0.00000000    
0000000014,    650.000000    ,    2000.00000    ,   0.746203355E-07,    0.00000000    
0000000015,    700.000000    ,    2000.00000    ,   0.694433223E-07,    0.00000000    
0000000016,    750.000000    ,    2000.00000    ,   0.650015763E-07,    0.00000000    
0000000017,    800.000000    ,    2000.00000    ,   0.611609895E-07,    0.00000000    
0000000018,    850.000000    ,    2000.00000    ,   0.578188015E-07,    0.00000000    
0000000019,    900.000000    ,    2000.00000    ,   0.549018927E-07,    0.00000000    
0000000020,    950.000000    ,    2000.00000    ,   0.523713898E-07,    0.00000000    
0000000021,    1000.00000    ,    2000.00000    ,   0.497990063E-07,    0.00000000    
0000000022,    1050.00000    ,    2000.00000    ,   0.475957894E-07,    0.00000000    
0000000023,    1100.00000    ,    2000.00000    ,   0.455777115E-07,    0.00000000    
0000000024,    1150.00000    ,    2000.00000    ,   0.437034996E-07,    0.00000000    
0000000025,    1200.00000    ,    2000.00000    ,   0.419689998E-07,    0.00000000    
