Node,  X Coordinate (m),  Y Coordinate (m),  Liquid X Volume Flux (m3/[m2 s]),  Liquid Y Volume Flux (m3/[m2 s])
0000000001,    0.00000000    ,    2000.00000    ,   0.120220174E-05,   0.124786058E-05
0000000002,    50.0000000    ,    2000.00000    ,   0.120220174E-05,    0.00000000    
0000000003,    100.000000    ,    2000.00000    ,   0.548514039E-06,    0.00000000    
0000000004,    150.000000    ,    2000.00000    ,   0.325366785E-06,    0.00000000    
0000000005,    200.000000    ,    2000.00000    ,   0.226052996E-06,    0.00000000    
0000000006,    250.000000    ,    2000.00000    ,   0.169631955E-06,    0.00000000    
0000000007,    300.000000    ,    2000.00000    ,   0.131020160E-06,    0.00000000    
0000000008,    350.000000    ,    2000.00000    ,   0.100991718E-06,    0.00000000    
0000000009,    400.000000    ,    2000.00000    ,   0.749233826E-07,    0.00000000    
0000000010,    450.000000    ,    2000.00000    ,   0.495096679E-07,    0.00000000    
0000000011,    500.000000    ,    2000.00000    ,    0.00000000    ,   0.227573791E-07
0000000012,    550.000000    ,    2000.00000    ,  -0.201091789E-07,    0.00000000    
0000000013,    600.000000    ,    2000.00000    ,  -0.232497065E-07,    0.00000000    
0000000014,    650.000000    ,    2000.00000    ,  -0.232497065E-07,   0.340732672E-08
0000000015,    700.000000    ,    2000.00000    ,  -0.224912109E-07,   0.179740244E-08
0000000016,    750.000000    ,    2000.00000    ,  -0.205518286E-07,   0.909613111E-09
0000000017,    800.000000    ,    2000.00000    ,  -0.184049348E-07,   0.369554434E-09
0000000018,    850.000000    ,    2000.00000    ,  -0.163849990E-07,   0.151506287E-10
0000000019,    900.000000    ,    2000.00000    ,  -0.145880496E-07,    0.00000000    
0000000020,    950.000000    ,    2000.00000    ,  -0.130171295E-07,    0.00000000    
0000000021,    1000.00000    ,    2000.00000    ,  -0.119131929E-07,    0.00000000    
0000000022,    1050.00000    ,    2000.00000    ,  -0.110503048E-07,    0.00000000    
0000000023,    1100.00000    ,    2000.00000    ,  -0.103629838E-07,    0.00000000    
0000000024,    1150.00000    ,    2000.00000    ,  -0.980332609E-08,    0.00000000    
